[INFO] [1775873906.278177073] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873907.278011883] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=False, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873908.277572017] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873909.277807901] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873910.276757987] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873911.278335763] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873912.277312265] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873913.277631683] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873914.277722237] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873915.278089767] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873916.278442076] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873917.273751240] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873918.277164154] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873919.278252416] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873920.277823700] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=10, fan_speed=0)
[INFO] [1775873921.275891917] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873922.277696507] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873923.274559615] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873924.278148661] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873925.278088339] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873926.277139028] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873927.277883371] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873928.277806229] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873929.278232611] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873930.277709557] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873931.277250080] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873932.282260613] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873933.275344492] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873934.277482451] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873935.278672377] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=False, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873936.277613367] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873937.277632069] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873938.277716688] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873939.277770766] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873940.277996575] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
[INFO] [1775873941.274108202] [vehicle_control_string_parser]: Published control status update: vehicle_interfaces.msg.ControlData(header=std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=0, nanosec=0), frame_id=''), brake=True, drive_reverse=True, steer_reverse=False, shift_up=False, drive_power=0, steer_power=50, fan_speed=0)
