[INFO] [1775756101.433040898] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756102.430589520] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756103.429557669] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756104.442166067] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756105.430185656] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756106.436794483] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756107.439228791] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756108.432340416] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756109.433019886] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756110.434092496] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756111.436232918] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756112.430045567] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756113.433640591] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756114.433468974] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756115.435367720] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756116.434941628] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756117.432421596] [vehicle_control_string_builder]: Published control string: {br[1]rv[1]srv[1]su[1]sp[50]ssp[0]fan[0]}
[INFO] [1775756118.434525780] [vehicle_control_string_builder]: P
