[INFO] [1774741108.580580200] [serial_manager]: New device detected: /dev/ttyS30 (n/a)
[INFO] [1774741108.581134178] [serial_manager]: New device detected: /dev/ttyS3 (n/a)
[INFO] [1774741108.581720190] [serial_manager]: New device detected: /dev/ttyS29 (n/a)
[INFO] [1774741108.582255818] [serial_manager]: New device detected: /dev/ttyS28 (n/a)
[INFO] [1774741108.583044113] [serial_manager]: New device detected: /dev/ttyS27 (n/a)
[INFO] [1774741108.583868399] [serial_manager]: New device detected: /dev/ttyS26 (n/a)
[INFO] [1774741108.584644726] [serial_manager]: New device detected: /dev/ttyS25 (n/a)
[INFO] [1774741108.585307940] [serial_manager]: New device detected: /dev/ttyS24 (n/a)
[INFO] [1774741108.586069487] [serial_manager]: New device detected: /dev/ttyS23 (n/a)
[INFO] [1774741108.586798715] [serial_manager]: New device detected: /dev/ttyS22 (n/a)
[INFO] [1774741108.587518242] [serial_manager]: New device detected: /dev/ttyS21 (n/a)
[INFO] [1774741108.588277609] [serial_manager]: New device detected: /dev/ttyS20 (n/a)
[INFO] [1774741108.589066418] [serial_manager]: New device detected: /dev/ttyS2 (n/a)
[INFO] [1774741108.589880751] [serial_manager]: New device detected: /dev/ttyS19 (n/a)
[INFO] [1774741108.590672859] [serial_manager]: New device detected: /dev/ttyS18 (n/a)
[INFO] [1774741108.591422632] [serial_manager]: New device detected: /dev/ttyS17 (n/a)
[INFO] [1774741108.592197987] [serial_manager]: New device detected: /dev/ttyS16 (n/a)
[INFO] [1774741108.592972043] [serial_manager]: New device detected: /dev/ttyS15 (n/a)
[INFO] [1774741108.593740549] [serial_manager]: New device detected: /dev/ttyS14 (n/a)
[INFO] [1774741108.594515962] [serial_manager]: New device detected: /dev/ttyS13 (n/a)
[INFO] [1774741108.595311736] [serial_manager]: New device detected: /dev/ttyS12 (n/a)
[INFO] [1774741108.596105542] [serial_manager]: New device detected: /dev/ttyS11 (n/a)
[INFO] [1774741108.596874848] [serial_manager]: New device detected: /dev/ttyS10 (n/a)
[INFO] [1774741108.597702855] [serial_manager]: New device detected: /dev/ttyS1 (n/a)
[INFO] [1774741108.598474822] [serial_manager]: New device detected: /dev/ttyS0 (n/a)
