[INFO] [1774742735.256076905] [serial_manager]: Starting Serial Manager Node
[INFO] [1774742738.278748147] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.281112501] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.282656845] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.285423421] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.286186829] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.286930780] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.288812011] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.289600532] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.290333749] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.291048339] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.291760206] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.292475839] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.293189789] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.293898179] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.294628645] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742738.295475485] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.265770394] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.266373909] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.266896183] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.267412299] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.267900623] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.268448614] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.268922688] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.269421801] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.269954026] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.270681352] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.271516906] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.272270539] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.272905786] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.273496476] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.274333293] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742741.275029654] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.267128218] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.267929798] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.268743192] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.269519316] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.270285671] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.271050911] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.271839662] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.272768207] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.274696842] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.275448273] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.276212201] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.277580278] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.278986881] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.280031396] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.280799262] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742744.281576258] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.266072636] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.266921205] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.267714415] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.268415925] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.268939374] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.269566683] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.270044887] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.270534636] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.271161999] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.271891216] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.272644892] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.273341903] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.273881258] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.274406761] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.274908768] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742747.275416325] [serial_manager]: Found serial port: /dev/ttyS0 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.267785985] [serial_manager]: Found serial port: /dev/ttyS8 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.268553551] [serial_manager]: Found serial port: /dev/ttyS6 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.269241768] [serial_manager]: Found serial port: /dev/ttyS4 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.269908170] [serial_manager]: Found serial port: /dev/ttyS30 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.270561013] [serial_manager]: Found serial port: /dev/ttyS29 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.271173152] [serial_manager]: Found serial port: /dev/ttyS27 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.271729259] [serial_manager]: Found serial port: /dev/ttyS25 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.272266681] [serial_manager]: Found serial port: /dev/ttyS23 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.272827244] [serial_manager]: Found serial port: /dev/ttyS21 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.273532621] [serial_manager]: Found serial port: /dev/ttyS2 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.274160277] [serial_manager]: Found serial port: /dev/ttyS18 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.274837592] [serial_manager]: Found serial port: /dev/ttyS16 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.275629092] [serial_manager]: Found serial port: /dev/ttyS14 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.276287975] [serial_manager]: Found serial port: /dev/ttyS12 (Description: n/a, VID: None, PID: None, Manufacturer: None, Product: None)
[INFO] [1774742750.276903298] [serial_manager]: Found serial port: /dev/ttyS10 (Description: n/a, VID: None, PID: None, Manufacturer: None, Produ
