[INFO] [1775755132.052198305] [vehicle_control_string_builder]: Starting Vehicle Control String Builder Node
[INFO] [1775755132.061228518] [vehicle_control_string_builder]: Successfully loaded control codes
[INFO] [1775755132.432418144] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755133.439265132] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755134.432405194] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755135.431932970] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755136.431795928] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755137.430218428] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755138.436339682] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755139.432766095] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755140.432486793] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755141.430385931] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755142.435666889] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755143.445676858] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755144.434740693] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755145.431448816] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755146.432939649] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755147.434075334] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755148.433623884] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755149.434653937] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755150.433145750] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755151.434219742] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755152.434864339] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755153.433520004] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755154.434566751] [vehicle_control_string_builder]: Published control string: {}
[INFO] [1775755155.434382196] [vehicle_control_string_builder]: Published control string: {}
